<UNK> <UNK>
가	k0 aa
걸	k0 vv ll
것	k0 vv tf
게	k0 ee
곧	k0 oo tf
굴	k0 uu ll
까	kk aa
꽤	kk wq
꿩	kk wv ng
나	nn aa
난	nn aa nf
날	nn aa ll
너	nn vv
늘	nn xx ll
다	t0 aa
더	t0 vv
돼	t0 wq
두	t0 uu
둑	t0 uu kf
듯	t0 xx tf
등	t0 xx ng
때	tt qq
리	rr ii
막	mm aa kf
먼	mm vv nf
몇	mm yv tf
물	mm uu ll
번	p0 vv nf
벌	p0 vv ll
본	p0 oo nf
봄	p0 oo mf
뿐	pp uu nf
산	s0 aa nf
삼	s0 aa mf
서	s0 vv
소	s0 oo
속	s0 oo kf
수	s0 uu
십	s0 ii pf
알	aa ll
앞	aa pf
양	ya ng
얘	yq
영	yv ng
온	oo nf
윤	yu nf
이	ii
일	ii ll
잘	c0 aa ll
저	c0 vv
제	c0 ee
좀	c0 oo mf
진	c0 ii nf
쪽	cc oo kf
참	ch aa mf
체	ch ee
큰	kh xx nf
타	th aa
탄	th aa nf
한	h0 aa nf
홱	h0 wq kf
가는	k0 aa nn xx nf
가릴	k0 aa rr ii ll
가슴	k0 aa s0 xx mf
가시	k0 aa s0 ii
가야	k0 aa ya
가에	k0 aa ee
가을	k0 aa xx ll
갈라	k0 aa ll rr aa
갈밭	k0 aa ll pp aa tf
감고	k0 aa mf k0 oo
감는	k0 aa mf nn xx nf
감이	k0 aa mm ii
갓난	k0 aa nf nn aa nf
개나	k0 qq nn aa
개울	k0 qq uu ll
걷어	k0 vv t0 vv
걷혀	k0 vv ch yv
검게	k0 vv mf k0 ee
검은	k0 vv mm xx nf
것만	k0 vv nf mm aa nf
것을	k0 vv s0 xx ll
고기	k0 oo k0 ii
고운	k0 oo uu nf
고장	k0 oo c0 aa ng
곱게	k0 oo pf kk ee
곱다	k0 oo pf tt aa
귀를	k0 wi rr xx ll
그냥	k0 xx nn ya ng
그리	k0 xx rr ii
기어	k0 ii vv
길에	k0 ii rr ee
길을	k0 ii rr xx ll
까닭	kk aa t0 aa kf
깔고	kk aa ll k0 oo
깜짝	kk aa mf cc aa kf
끝을	kk xx th xx ll
나가	nn aa k0 aa
나면	nn aa mm yv nf
나무	nn aa mm uu
날은	nn aa rr xx nf
날이	nn aa rr ii
내가	nn qq k0 aa
낸다	nn qq nf t0 aa
너머	nn vv mm vv
녹기	nn oo kf kk ii
논과	nn oo nf k0 wa
놀라	nn oo ll rr aa
놀려	nn oo ll rr yv
놓고	nn oo kh oo
놓는	nn oo nf nn xx nf
놓아	nn oo aa
눈과	nn uu nf k0 wa
눈을	nn uu nn xx ll
눈이	nn uu nn ii
늙은	nn xx ll k0 xx nf
늦게	nn xx tf kk ee
다음	t0 aa xx mf
달고	t0 aa ll k0 oo
달리	t0 aa ll rr ii
대신	t0 qq s0 ii nf
던진	t0 vv nf c0 ii nf
데가	t0 ee k0 aa
돌래	t0 oo ll rr qq
동안	t0 oo ng aa nf
두면	t0 uu mm yv nf
둑에	t0 uu k0 ee
둘려	t0 uu ll rr yv
들도	t0 xx ll t0 oo
들로	t0 xx ll rr oo
듯이	t0 xx s0 ii
뛰어	tt wi vv
뛰쳐	tt wi ch yv
뜯는	tt xx nf nn xx nf
뜯어	tt xx t0 vv
마냥	mm aa nn ya ng
마른	mm aa rr xx nf
마리	mm aa rr ii
마을	mm aa xx ll
마치	mm aa ch ii
말도	mm aa ll t0 oo
맑고	mm aa ll kk oo
맑은	mm aa ll k0 xx nf
매운	mm qq uu nf
먹고	mm vv kf kk oo
먼저	mm vv nf c0 vv
메에	mm ee ee
멱만	mm yv ng mm aa nf
멱을	mm yv k0 xx ll
목이	mm oo k0 ii
몰려	mm oo ll rr yv
몸을	mm oo mm xx ll
몹시	mm oo pf ss ii
무슨	mm uu s0 xx nf
무우	mm uu uu
문득	mm uu nf t0 xx kf
물만	mm uu ll mm aa nf
물을	mm uu rr xx ll
밑에	mm ii th ee
바람	p0 aa rr aa mf
바보	p0 aa p0 oo
발이	p0 aa rr ii
배를	p0 qq rr xx ll
번져	p0 vv nf c0 yv
벌떡	p0 vv ll tt vv kf
벌써	p0 vv ll ss vv
벗어	p0 vv s0 vv
볕을	p0 yv th xx ll
보는	p0 oo nn xx nf
보면	p0 oo mm yv nf
보자	p0 oo c0 aa
보지	p0 oo c0 ii
봐도	p0 wa t0 oo
뵈지	p0 wo c0 ii
부채	p0 uu ch qq
분홍	p0 uu nf h0 oo ng
불어	p0 uu rr vv
불을	p0 uu rr xx ll
불탄	p0 uu ll th aa nf
비켜	p0 ii kh yv
비킬	p0 ii kh ii ll
빤히	pp aa nf h0 ii
뻗고	pp vv tf kk oo
뿔에	pp uu rr ee
산간	s0 aa nf k0 aa nf
산과	s0 aa nf k0 wa
산도	s0 aa nf t0 oo
산을	s0 aa nn xx ll
살고	s0 aa ll k0 oo
살기	s0 aa ll k0 ii
살진	s0 aa ll c0 ii nf
새끼	s0 qq kk ii
새로	s0 qq rr oo
섰다	s0 vv tf tt aa
성터	s0 vv ng th vv
소가	s0 oo k0 aa
소녀	s0 oo nn yv
소는	s0 oo nn xx nf
소를	s0 oo rr xx ll
속에	s0 oo k0 ee
속을	s0 oo k0 xx ll
속의	s0 oo k0 xi
속이	s0 oo k0 ii
손을	s0 oo nn xx ll
실컷	s0 ii ll kh vv tf
싸여	ss aa yv
쑥을	ss uu k0 xx ll
쑥이	ss uu k0 ii
아닌	aa nn ii nf
아래	aa rr qq
아주	aa c0 uu
안고	aa nf kk oo
앉아	aa nf c0 aa
않게	aa nf kh ee
않는	aa nf nn xx nf
않던	aa nf th vv nf
않은	aa nn xx nf
어떤	vv tt vv nf
얼른	vv ll rr xx nf
얼마	vv ll mm aa
없는	vv mf nn xx nf
없다	vv pf tt aa
없을	vv pf ss xx ll
없이	vv pf ss ii
여태	yv th qq
오래	oo rr qq
오랜	oo rr qq nf
오면	oo mm yv nf
온통	oo nf th oo ng
올라	oo ll rr aa
왔다	wa tf tt aa
요행	yo h0 qq ng
울면	uu ll mm yv nf
움켜	uu mf kh yv
움큼	uu mf kh xx mf
위로	wi rr oo
유독	yu t0 oo kf
으레	xx rr ee
이게	ii k0 ee
이런	ii rr vv nf
이럴	ii rr vv ll
이른	ii rr xx nf
이제	ii c0 ee
익고	ii kf kk oo
익는	ii ng nn xx nf
일도	ii ll t0 oo
일을	ii rr xx ll
입은	ii p0 xx nf
있고	ii tf kk oo
있는	ii nf nn xx nf
있니	ii nf nn ii
있다	ii tf tt aa
있어	ii ss vv
있지	ii tf cc ii
자고	c0 aa k0 oo
자꾸	c0 aa kk uu
잔디	c0 aa nf t0 ii
잡힐	c0 aa ph ii ll
저도	c0 vv t0 oo
저쯤	c0 vv cc xx mf
전에	c0 vv nn ee
좀더	c0 oo mf t0 vv
주지	c0 uu c0 ii
지고	c0 ii k0 oo
지친	c0 ii ch ii nf
질러	c0 ii ll rr vv
집어	c0 ii p0 vv
짙고	c0 ii tf kk oo
쫓고	cc oo tf kk oo
쬐던	cc wo t0 vv nf
찾아	ch aa c0 aa
채로	ch qq rr oo
코를	kh oo rr xx ll
큰길	kh xx nf k0 ii ll
털이	th vv rr ii
팔과	ph aa ll k0 wa
패를	ph qq rr xx ll
풀을	ph uu rr xx ll
피고	ph ii k0 oo
피면	ph ii mm yv nf
피어	ph ii vv
하고	h0 aa k0 oo
하나	h0 aa nn aa
하는	h0 aa nn xx nf
하던	h0 aa t0 vv nf
하면	h0 aa mm yv nf
하얀	h0 aa ya nf
한다	h0 aa nf t0 aa
한참	h0 aa nf ch aa mf
핥아	h0 aa ll th aa
함께	h0 aa mf kk ee
해가	h0 qq k0 aa
햇살	h0 qq tf ss aa ll
했다	h0 qq tf tt aa
했을	h0 qq ss xx ll
향해	h0 ya ng h0 qq
훔쳐	h0 uu mf ch yv
가까운	k0 aa kk aa uu nf
가듯이	k0 aa t0 xx s0 ii
갈꽃뿐	k0 aa ll kk oo tf pp uu nf
갈꽃을	k0 aa ll kk oo ch xx ll
갈꽃이	k0 aa ll kk oo ch ii
갈밭도	k0 aa ll pp aa tf tt oo
갑자기	k0 aa pf cc aa k0 ii
강에서	k0 aa ng ee s0 vv
같았다	k0 aa th aa tf tt aa
같지는	k0 aa tf cc ii nn xx nf
개울을	k0 qq uu rr xx ll
건너기	k0 vv nf nn vv k0 ii
건너는	k0 vv nf nn vv nn xx nf
건너던	k0 vv nf nn vv t0 vv nf
건너편	k0 vv nf nn vv ph yv nf
건넌다	k0 vv nf nn vv nf t0 aa
것이다	k0 vv s0 ii t0 aa
겨우내	k0 yv uu nn qq
고삐를	k0 oo pp ii rr xx ll
고양이	k0 oo ya ng ii
고장의	k0 oo c0 aa ng xi
고함을	k0 oo h0 aa mm xx ll
군침도	k0 uu nf ch ii mf t0 oo
귀여운	k0 wi yv uu nf
귀엽지	k0 wi yv pf cc ii
그늘이	k0 xx nn xx rr ii
그대로	k0 xx t0 qq rr oo
그래도	k0 xx rr qq t0 oo
그러나	k0 xx rr vv nn aa
그러한	k0 xx rr vv h0 aa nf
그런데	k0 xx rr vv nf t0 ee
그리고	k0 xx rr ii k0 oo
기울면	k0 ii uu ll mm yv nf
기울여	k0 ii uu ll rr yv
기차도	k0 ii ch aa t0 oo
길에는	k0 ii rr ee nn xx nf
깊숙히	k0 ii pf ss uu kh ii
꺼멓게	kk vv mm vv kh ee
끝나면	kk xx nf nn aa mm yv nf
나더니	nn aa t0 vv nn ii
나도록	nn aa t0 oo rr oo kf
나무를	nn aa mm uu rr xx ll
나무와	nn aa mm uu wa
나오면	nn aa oo mm yv nf
나오지	nn aa oo c0 ii
나왔다	nn aa wa tf tt aa
날부터	nn aa ll pp uu th vv
날쌔게	nn aa ll ss qq k0 ee
내면서	nn qq mm yv nf s0 vv
너머에	nn vv mm vv ee
넣었다	nn vv vv tf tt aa
누렇게	nn uu rr vv kh ee
눈알이	nn uu nn aa rr ii
다치기	t0 aa ch ii k0 ii
단풍과	t0 aa nf ph uu ng k0 wa
달렸다	t0 aa ll rr yv tf tt aa
달리기	t0 aa ll rr ii k0 ii
달린다	t0 aa ll rr ii nf t0 aa
돋았고	t0 oo t0 aa tf kk oo
돌아갈	t0 oo rr aa k0 aa ll
동서로	t0 oo ng s0 vv rr oo
둥글고	t0 uu ng k0 xx ll k0 oo
뒤에는	t0 wi ee nn xx nf
뒤지고	t0 wi c0 ii k0 oo
들길을	t0 xx ll k0 ii rr xx ll
들어가	t0 xx rr vv k0 aa
들었다	t0 xx rr vv tf tt aa
따르고	tt aa rr xx k0 oo
때로는	tt qq rr oo nn xx nf
때문에	tt qq mm uu nn ee
때에는	tt qq ee nn xx nf
마을도	mm aa xx ll t0 oo
마을로	mm aa xx ll rr oo
마을에	mm aa xx rr ee
마장쯤	mm aa c0 aa ng cc xx mf
막혀서	mm aa kh yv s0 vv
만만한	mm aa nf mm aa nf h0 aa nf
말았다	mm aa rr aa tf tt aa
먹었다	mm vv k0 vv tf tt aa
메밀꽃	mm ee mm ii ll kk oo tf
며칠째	mm yv ch ii ll cc qq
멱감는	mm yv kf kk aa mf nn xx nf
모르게	mm oo rr xx k0 ee
모르는	mm oo rr xx nn xx nf
몰랐다	mm oo ll rr aa tf tt aa
못들은	mm oo tf tt xx rr xx nf
무료에	mm uu rr yo ee
무엇을	mm uu vv s0 xx ll
물기가	mm uu ll k0 ii k0 aa
미간이	mm ii k0 aa nn ii
밑이나	mm ii ch ii nn aa
받기도	p0 aa tf kk ii t0 oo
발쯤만	p0 aa ll cc xx mf mm aa nf
밤꽃이	p0 aa mf kk oo ch ii
버렸다	p0 vv rr yv tf tt aa
버릇이	p0 vv rr xx s0 ii
번번이	p0 vv nf p0 vv nn ii
번이고	p0 vv nn ii k0 oo
벌였다	p0 vv ll rr yv tf tt aa
보기도	p0 oo k0 ii t0 oo
보리가	p0 oo rr ii k0 aa
보리를	p0 oo rr ii rr xx ll
보았다	p0 oo aa tf tt aa
보이지	p0 oo ii c0 ii
봄이면	p0 oo mm ii mm yv nf
불꽃은	p0 uu ll kk oo ch xx nf
불었다	p0 uu rr vv tf tt aa
불평도	p0 uu ll ph yv ng t0 oo
붙이고	p0 uu ch ii k0 oo
비비대	p0 ii p0 ii t0 qq
비추어	p0 ii ch uu vv
빛나는	p0 ii nf nn aa nn xx nf
빠졌다	pp aa c0 yv tf tt aa
빨래가	pp aa ll rr qq k0 aa
뻐꾸기	pp vv kk uu k0 ii
뽀얗게	pp oo ya kh ee
삘기를	pp ii ll k0 ii rr xx ll
사람이	s0 aa rr aa mm ii
사지를	s0 aa c0 ii rr xx ll
삭정이	s0 aa kf cc vv ng ii
산발치	s0 aa nf p0 aa ll ch ii
산에는	s0 aa nn ee nn xx nf
삼켰다	s0 aa mf kh yv tf tt aa
상당한	s0 aa ng t0 aa ng h0 aa nf
새끼를	s0 qq kk ii rr xx ll
생겼다	s0 qq ng k0 yv tf tt aa
세수를	s0 ee s0 uu rr xx ll
소녀가	s0 oo nn yv k0 aa
소녀는	s0 oo nn yv nn xx nf
소녀를	s0 oo nn yv rr xx ll
소녀의	s0 oo nn yv xi
소년은	s0 oo nn yv nn xx nf
소년의	s0 oo nn yv nn xi
소년이	s0 oo nn yv nn ii
소들은	s0 oo t0 xx rr xx nf
소리가	s0 oo rr ii k0 aa
소매를	s0 oo mm qq rr xx ll
속에는	s0 oo k0 ee nn xx nf
속에서	s0 oo k0 ee s0 vv
손으로	s0 oo nn xx rr oo
순순히	s0 uu nf s0 uu nf h0 ii
순해서	s0 uu nf h0 qq s0 vv
숨결이	s0 uu mf k0 yv rr ii
숨어서	s0 uu mm vv s0 vv
쉽사리	s0 wi pf ss aa rr ii
스웨터	s0 xx we th vv
시간이	s0 ii k0 aa nn ii
시원한	s0 ii wv nf h0 aa nf
실수를	s0 ii ll s0 uu rr xx ll
싫었다	s0 ii rr vv tf tt aa
싫증이	s0 ii ll cc xx ng ii
씨름도	ss ii rr xx mf t0 oo
씹기도	ss ii pf kk ii t0 oo
아는지	aa nn xx nf c0 ii
아니고	aa nn ii k0 oo
아니라	aa nn ii rr aa
아니면	aa nn ii mm yv nf
아무튼	aa mm uu th xx nf
아직도	aa c0 ii kf tt oo
안개가	aa nf k0 qq k0 aa
앉아서	aa nf c0 aa s0 vv
않느냐	aa nf nn xx nn ya
않는다	aa nf nn xx nf t0 aa
않았다	aa nn aa tf tt aa
않으면	aa nn xx mm yv nf
앞에서	aa ph ee s0 vv
액체가	qq kf ch ee k0 aa
어디를	vv t0 ii rr xx ll
어딘가	vv t0 ii nf k0 aa
어질고	vv c0 ii ll k0 oo
언제나	vv nf c0 ee nn aa
얼굴을	vv ll k0 uu rr xx ll
얼굴이	vv ll k0 uu rr ii
없었다	vv pf ss vv tf tt aa
여기서	yv k0 ii s0 vv
여름은	yv rr xx mm xx nf
연기가	yv nf k0 ii k0 aa
연기를	yv nf k0 ii rr xx ll
엿보고	yv tf pp oo k0 oo
영감은	yv ng k0 aa mm xx nf
영감이	yv ng k0 aa mm ii
영화도	yv ng h0 wa t0 oo
오늘은	oo nn xx rr xx nf
오리의	oo rr ii xi
올랐다	oo ll rr aa tf tt aa
외순을	wo s0 uu nn xx ll
우대로	uu t0 qq rr oo
울기도	uu ll k0 ii t0 oo
울음과	uu rr xx mf k0 wa
움킨다	uu mf kh ii nf t0 aa
원두막	wv nf t0 uu mm aa kf
유난히	yu nn aa nf h0 ii
의심도	xi s0 ii mf t0 oo
이래서	ii rr qq s0 vv
이르니	ii rr xx nn ii
이름도	ii rr xx mf t0 oo
이리로	ii rr ii rr oo
이상한	ii s0 aa ng h0 aa nf
이제는	ii c0 ee nn xx nf
일어나	ii rr vv nn aa
입술에	ii pf ss uu rr ee
있다고	ii tf tt aa k0 oo
있어야	ii ss vv ya
있었다	ii ss vv tf tt aa
자기도	c0 aa k0 ii t0 oo
자꾸만	c0 aa kk uu mm aa nf
잔디가	c0 aa nf t0 ii k0 aa
잔디를	c0 aa nf t0 ii rr xx ll
잔디에	c0 aa nf t0 ii ee
잠그고	c0 aa mf k0 xx k0 oo
잡목과	c0 aa mf mm oo kf kk wa
잡자는	c0 aa pf cc aa nn xx nf
전기도	c0 vv nf k0 ii t0 oo
전부터	c0 vv nf p0 uu th vv
젖먹이	c0 vv nf mm vv k0 ii
제각기	c0 ee k0 aa kf kk ii
조개지	c0 oo k0 qq c0 ii
졸면서	c0 oo ll mm yv nf s0 vv
좋겠다	c0 oo kh ee tf tt aa
주기도	c0 uu k0 ii t0 oo
주머니	c0 uu mm vv nn ii
주었다	c0 uu vv tf tt aa
주인에	c0 uu ii nn ee
줬으면	c0 wv ss xx mm yv nf
지치고	c0 ii ch ii k0 oo
지폈다	c0 ii ph yv tf tt aa
짐승도	c0 ii mf s0 xx ng t0 oo
짐승이	c0 ii mf s0 xx ng ii
찝찔한	cc ii pf cc ii ll h0 aa nf
천천한	ch vv nf ch vv nf h0 aa nf
천천히	ch vv nf ch vv nf h0 ii
청량한	ch vv ng nn ya ng h0 aa nf
체했다	ch ee h0 qq tf tt aa
초가집	ch oo k0 aa c0 ii pf
초시네	ch oo s0 ii nn ee
코피를	kh oo ph ii rr xx ll
콩밭과	kh oo ng p0 aa tf kk wa
푸르름	ph uu rr xx rr xx mf
하거나	h0 aa k0 vv nn aa
하늘로	h0 aa nn xx ll rr oo
하더니	h0 aa t0 vv nn ii
햇살이	h0 qq tf ss aa rr ii
했으나	h0 qq ss xx nn aa
휘둘러	h0 wi t0 uu ll rr vv
흔들어	h0 xx nf t0 xx rr vv
희었다	h0 xi vv tf tt aa
가는귀가	k0 aa nn xx nf k0 wi k0 aa
가리켰다	k0 aa rr ii kh yv tf tt aa
가을이면	k0 aa xx rr ii mm yv nf
갈림길에	k0 aa ll rr ii mf k0 ii rr ee
감다가도	k0 aa mf t0 aa k0 aa t0 oo
개울가로	k0 qq uu ll k0 aa rr oo
개울가에	k0 qq uu ll k0 aa ee
개울둑에	k0 qq uu ll t0 uu k0 ee
개울물을	k0 qq uu ll mm uu rr xx ll
개울에다	k0 qq uu rr ee t0 aa
건너간다	k0 vv nf nn vv k0 aa nf t0 aa
건너오고	k0 vv nf nn vv oo k0 oo
걷어올린	k0 vv t0 vv oo ll rr ii nf
걸어가는	k0 vv rr vv k0 aa nn xx nf
것이리라	k0 vv s0 ii rr ii rr aa
것이었다	k0 vv s0 ii vv tf tt aa
구석에는	k0 uu s0 vv k0 ee nn xx nf
군데군데	k0 uu nf t0 ee k0 uu nf t0 ee
굼실굼실	k0 uu mf s0 ii ll k0 uu mf s0 ii ll
